Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2640,Pepper,2013,2013,1000 tonnes,31,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2640,Pepper,2013,2013,1000 tonnes,12,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2641,Pimento,2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2641,Pimento,2013,2013,1000 tonnes,2,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2641,Pimento,2013,2013,1000 tonnes,-1,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2645,"Spices, Other",2013,2013,1000 tonnes,13,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2645,"Spices, Other",2013,2013,1000 tonnes,7,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2645,"Spices, Other",2013,2013,1000 tonnes,6,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2655,Wine,2013,2013,1000 tonnes,273,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2655,Wine,2013,2013,1000 tonnes,72,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2655,Wine,2013,2013,1000 tonnes,20,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2655,Wine,2013,2013,1000 tonnes,325,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2731,Bovine Meat,2013,2013,1000 tonnes,9675,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2731,Bovine Meat,2013,2013,1000 tonnes,56,S,Standardized data
